Dataset,Accuracy,Time (seconds),kernel,C,class_weight,shrinking,gamma
balance_1,0.8548387096774194,0.03200244903564453,rbf,1.0,,True,scale
balance_1,0.8548387096774194,0.023997068405151367,rbf,1.0,,False,scale
balance_1,0.8064516129032258,0.03200840950012207,rbf,1.0,balanced,True,scale
balance_1,0.8064516129032258,0.023998022079467773,rbf,1.0,balanced,False,scale
balance_1,0.8709677419354839,0.023995637893676758,rbf,1.0,,True,auto
balance_1,0.8709677419354839,0.02399897575378418,rbf,1.0,,False,auto
balance_1,0.6290322580645161,0.032019853591918945,rbf,1.0,balanced,True,auto
balance_1,0.6290322580645161,0.03200244903564453,rbf,1.0,balanced,False,auto
balance_1,0.45161290322580644,0.03216552734375,rbf,1.0,,True,0.001
balance_1,0.45161290322580644,0.03199958801269531,rbf,1.0,,False,0.001
balance_1,0.08064516129032258,0.04044771194458008,rbf,1.0,balanced,True,0.001
balance_1,0.08064516129032258,0.05645394325256348,rbf,1.0,balanced,False,0.001
balance_1,0.8870967741935484,0.0319981575012207,rbf,1.0,,True,0.01
balance_1,0.8870967741935484,0.03217935562133789,rbf,1.0,,False,0.01
balance_1,0.3870967741935484,0.04000353813171387,rbf,1.0,balanced,True,0.01
balance_1,0.3870967741935484,0.03609871864318848,rbf,1.0,balanced,False,0.01
balance_1,0.9032258064516129,0.023995399475097656,rbf,1.0,,True,0.1
balance_1,0.9032258064516129,0.024003982543945312,rbf,1.0,,False,0.1
balance_1,0.7096774193548387,0.02397918701171875,rbf,1.0,balanced,True,0.1
balance_1,0.7096774193548387,0.0321955680847168,rbf,1.0,balanced,False,0.1
balance_1,0.7903225806451613,0.039978981018066406,rbf,1.0,,True,1
balance_1,0.7903225806451613,0.04001784324645996,rbf,1.0,,False,1
balance_1,0.8064516129032258,0.03998136520385742,rbf,1.0,balanced,True,1
balance_1,0.8064516129032258,0.04000043869018555,rbf,1.0,balanced,False,1
balance_1,0.7580645161290323,0.03200030326843262,rbf,10.0,,True,scale
balance_1,0.7580645161290323,0.023998260498046875,rbf,10.0,,False,scale
balance_1,0.7580645161290323,0.03200817108154297,rbf,10.0,balanced,True,scale
balance_1,0.7580645161290323,0.02399134635925293,rbf,10.0,balanced,False,scale
balance_1,0.8548387096774194,0.02402496337890625,rbf,10.0,,True,auto
balance_1,0.8548387096774194,0.023999452590942383,rbf,10.0,,False,auto
balance_1,0.8709677419354839,0.01599884033203125,rbf,10.0,balanced,True,auto
balance_1,0.8709677419354839,0.031982421875,rbf,10.0,balanced,False,auto
balance_1,0.8709677419354839,0.024359464645385742,rbf,10.0,,True,0.001
balance_1,0.8709677419354839,0.031646728515625,rbf,10.0,,False,0.001
balance_1,0.3870967741935484,0.04001665115356445,rbf,10.0,balanced,True,0.001
balance_1,0.3870967741935484,0.031976938247680664,rbf,10.0,balanced,False,0.001
balance_1,0.8870967741935484,0.024024248123168945,rbf,10.0,,True,0.01
balance_1,0.8870967741935484,0.03199601173400879,rbf,10.0,,False,0.01
balance_1,0.7419354838709677,0.03200268745422363,rbf,10.0,balanced,True,0.01
balance_1,0.7419354838709677,0.03199625015258789,rbf,10.0,balanced,False,0.01
balance_1,0.8870967741935484,0.023999691009521484,rbf,10.0,,True,0.1
balance_1,0.8870967741935484,0.02400064468383789,rbf,10.0,,False,0.1
balance_1,0.8548387096774194,0.02400350570678711,rbf,10.0,balanced,True,0.1
balance_1,0.8548387096774194,0.023976564407348633,rbf,10.0,balanced,False,0.1
balance_1,0.7580645161290323,0.03999924659729004,rbf,10.0,,True,1
balance_1,0.7580645161290323,0.031995534896850586,rbf,10.0,,False,1
balance_1,0.7580645161290323,0.039838552474975586,rbf,10.0,balanced,True,1
balance_1,0.7580645161290323,0.039999961853027344,rbf,10.0,balanced,False,1
balance_1,0.7580645161290323,0.023999929428100586,rbf,100.0,,True,scale
balance_1,0.7580645161290323,0.024158716201782227,rbf,100.0,,False,scale
balance_1,0.7580645161290323,0.023981571197509766,rbf,100.0,balanced,True,scale
balance_1,0.7580645161290323,0.023998022079467773,rbf,100.0,balanced,False,scale
balance_1,0.967741935483871,0.016002416610717773,rbf,100.0,,True,auto
balance_1,0.967741935483871,0.03197836875915527,rbf,100.0,,False,auto
balance_1,0.967741935483871,0.024370670318603516,rbf,100.0,balanced,True,auto
balance_1,0.967741935483871,0.03199958801269531,rbf,100.0,balanced,False,auto
balance_1,0.8870967741935484,0.024222850799560547,rbf,100.0,,True,0.001
balance_1,0.8870967741935484,0.03202366828918457,rbf,100.0,,False,0.001
balance_1,0.7419354838709677,0.031984806060791016,rbf,100.0,balanced,True,0.001
balance_1,0.7419354838709677,0.057848215103149414,rbf,100.0,balanced,False,0.001
balance_1,0.9032258064516129,0.024004220962524414,rbf,100.0,,True,0.01
balance_1,0.9032258064516129,0.039995431900024414,rbf,100.0,,False,0.01
balance_1,0.8225806451612904,0.03999924659729004,rbf,100.0,balanced,True,0.01
balance_1,0.8225806451612904,0.048003196716308594,rbf,100.0,balanced,False,0.01
balance_1,0.967741935483871,0.023995399475097656,rbf,100.0,,True,0.1
balance_1,0.967741935483871,0.03200101852416992,rbf,100.0,,False,0.1
balance_1,0.967741935483871,0.02566075325012207,rbf,100.0,balanced,True,0.1
balance_1,0.967741935483871,0.03202176094055176,rbf,100.0,balanced,False,0.1
balance_1,0.7580645161290323,0.03999924659729004,rbf,100.0,,True,1
balance_1,0.7580645161290323,0.039999961853027344,rbf,100.0,,False,1
balance_1,0.7580645161290323,0.039977073669433594,rbf,100.0,balanced,True,1
balance_1,0.7580645161290323,0.03404974937438965,rbf,100.0,balanced,False,1
balance_2,0.4444444444444444,0.024338960647583008,linear,0.001,,True,
balance_2,0.4444444444444444,0.016223669052124023,linear,0.001,,False,
balance_2,0.07936507936507936,0.024163484573364258,linear,0.001,balanced,True,
balance_2,0.07936507936507936,0.02399468421936035,linear,0.001,balanced,False,
balance_2,0.9047619047619048,0.016173839569091797,linear,0.01,,True,
balance_2,0.9047619047619048,0.016130447387695312,linear,0.01,,False,
balance_2,0.1111111111111111,0.024168968200683594,linear,0.01,balanced,True,
balance_2,0.1111111111111111,0.024255037307739258,linear,0.01,balanced,False,
balance_2,0.9206349206349206,0.01617574691772461,linear,0.1,,True,
balance_2,0.9206349206349206,0.015991926193237305,linear,0.1,,False,
balance_2,0.5396825396825397,0.024161577224731445,linear,0.1,balanced,True,
balance_2,0.5396825396825397,0.040003299713134766,linear,0.1,balanced,False,
balance_2,0.9047619047619048,0.01599860191345215,linear,1.0,,True,
balance_2,0.9047619047619048,0.016001224517822266,linear,1.0,,False,
balance_2,0.8571428571428571,0.01599740982055664,linear,1.0,balanced,True,
balance_2,0.8571428571428571,0.01619267463684082,linear,1.0,balanced,False,
balance_2,0.9841269841269841,0.016005992889404297,linear,10.0,,True,
balance_2,0.9841269841269841,0.024016857147216797,linear,10.0,,False,
balance_2,0.9682539682539683,0.015976667404174805,linear,10.0,balanced,True,
balance_2,0.9682539682539683,0.008020877838134766,linear,10.0,balanced,False,
balance_2,0.9841269841269841,0.015999555587768555,linear,100.0,,True,
balance_2,0.9841269841269841,0.03200054168701172,linear,100.0,,False,
balance_2,0.9841269841269841,0.015999794006347656,linear,100.0,balanced,True,
balance_2,0.9841269841269841,0.03199958801269531,linear,100.0,balanced,False,
balance_2,0.4444444444444444,0.032000064849853516,rbf,0.001,,True,scale
balance_2,0.4444444444444444,0.023999691009521484,rbf,0.001,,False,scale
